HolderAddress,Balance,PendingBalanceUpdate,Date,Change
0x434d36f32abed3f7937fe0be88dc1b0eb9381244,241985887.44892195,,2026-01-14 21:28,
0xb6d6e1865bfa3de860ef331aabf13f08915027c2,0.0,,2026-01-14 21:28,
0x2dc37949d73cc648ca45c6e22253654a1f1865d8,0.0,,2026-01-14 21:28,
0xc24e6ad0d54779d47c7af0d5f602a7caecaf0bf2,0.0,,2026-01-14 21:28,
0x9d962f144bb6ba906397a861795f89bbdffb1ae2,0.0,,2026-01-14 21:28,
0x481c36a595b8f71a87f6e4a0476e67733edd6835,0.0,,2026-01-14 21:28,
0x7c7a1bd67e41c563c8aacab011b6b6e6f82f8915,210894785.04616243,,2026-01-14 21:28,
0xc43da75ada0636bb182635213d6ff26ed8d646c3,0.0,,2026-01-14 21:28,
0xef0c6f892b0d6f3dde527416b67f7aa4a4bc0a86,0.0,,2026-01-14 21:28,
0x9340989729aa956fe11fe9bf6038e3df627dfe4d,205998928.05829853,,2026-01-14 21:28,
0x128c718152c4da86454547484a43a09ac4ee6e7b,204537102.9883464,,2026-01-14 21:28,
0x8d2c826a0620b7fe05266fbdb29febb9761880d9,0.0,,2026-01-14 21:28,
0x65c9874a0107c5553c92430a7aa3863a79d543fd,0.0,,2026-01-14 21:28,
0x7bde5110222b2b69a72c5d4928f6d284686a1251,0.0,,2026-01-14 21:28,
0x65b3e277ccd0643d3eef18d3873e909382bc6015,0.0,,2026-01-14 21:28,
0xc72b54ffc17569d338ae9ea0fc3d565a71227f25,200000002.0,,2026-01-14 21:28,
0xb11f9acc7726dbb8a529bc549432e1070657bbd7,0.0,,2026-01-14 21:28,
0xf3b75aeb448fca1b457432fcca3ab8c491ba1e22,193878531.4877655,,2026-01-14 21:28,
0xeac6a43ac78e616abb651f287cab58ac96e85644,190484970.7526354,,2026-01-14 21:28,
0x32b1cc950ef25434172ba21a2afa0dfe2795baa9,0.0,,2026-01-14 21:28,
0x498581ff718922c3f8e6a244956af099b2652b2b,0.0,,2026-01-14 21:28,
0xeebceff9589546d9020f4a974184098759ed69fe,179702063.17542824,,2026-01-14 21:28,
0x407cd980dfd24f868040379337ffded901825b97,0.0,,2026-01-14 21:28,
0x21586d44b423e85cad6cf541e61461b36802a200,175000000.0,,2026-01-14 21:28,
0xf290a936e78dbaa0b8f444f05cca22a192a43e00,174288987.77657944,,2026-01-14 21:28,
0x75e5162644fca0392cce7dc6fe20f35e362ca8bb,169534851.83740127,,2026-01-14 21:28,
0x5d2bb9e5a29657935010fdf2a911e957d51b6c51,0.0,,2026-01-14 21:28,
0x8ef9c8477a01f9a28f6266513f62ba414cbf39ed,165786678.10398003,,2026-01-14 21:28,
0x0d1e97c3b558e2bb205d294edb775bb2c935d200,0.0,,2026-01-14 21:28,
0xf4508c3a2781f2a0bdf2b767c4fb937603611d65,0.0,,2026-01-14 21:28,
0x44c3cf2d964d7b2f9be5fa612b0cc436720f6ead,157420065.58433166,,2026-01-14 21:28,
0x631456089b908a73cb5563763869ef3bd067f7a9,0.0,,2026-01-14 21:28,
0xb69c41f9546fe7e4ea8e218330990f518c80ba6a,0.0,,2026-01-14 21:28,
0x6123f74cbdae63e40a5d46e4ae72d0418ce2a05c,151663906.9138997,,2026-01-14 21:28,
0x105f11a93f8462745eaeeeb582959201b6f4f7f8,0.0,,2026-01-14 21:28,
0x5608e12d1c281c5e6ee78638630467a1476bf05f,150913463.74031353,,2026-01-14 21:28,
0x605c8418be0667a74c4f06a26246d0bbb61cb267,150753100.07661787,,2026-01-14 21:28,
0x535be74309093b3a911b57e42ffdac7213078735,0.0,,2026-01-14 21:28,
0x44fa987b5ab185e7d87bdecd7c0e0341f1e2a1bf,140600628.88636157,,2026-01-14 21:28,
0xd37b1ea54a39256bd1e97f65f8e9c996f3c6f430,136657724.2822156,,2026-01-14 21:28,
